Membership No  Date Joined  Active  
    78540      2017-6-10    no    
    43129      2016-12-17   no    
    86904      2019-1-7     no    
    11008      2018-6-17    no    
    20171      2020-12-8    no    
    31945      2018-11-15   no    
    78143      2015-8-4     no    
    76180      2015-9-24    no    
    92633      2019-2-3     no    
    78472      2016-6-4     no    
    24325      2016-1-14    no    
    80355      2015-5-21    no    
    39486      2016-10-13   no    
    38220      2017-11-21   no    
